2023-06-01 11:47:26.832 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lzq.demo.service.impl.ruleTest], using SpringBootContextLoader
2023-06-01 11:47:26.863 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.lzq.demo.service.impl.ruleTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-06-01 11:47:26.865 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.lzq.demo.service.impl.ruleTest]: ruleTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-06-01 11:47:27.075 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.lzq.demo.Application for test class com.lzq.demo.service.impl.ruleTest
2023-06-01 11:47:27.243 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-06-01 11:47:27.335 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@463b4ac8, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@765f05af, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@62f68dff, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@f001896, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@13f17eb4, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1d0d6318, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4bc28c33, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4409e975, org.springframework.test.context.event.EventPublishingTestExecutionListener@5c153b9e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2a7686a7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@758a34ce, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7ec3394b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@bff34c6, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1522d8a0, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@312ab28e]
2023-06-01 11:47:27.900 [main] INFO  com.lzq.demo.service.impl.ruleTest - Starting ruleTest using Java 17.0.7 on DESKTOP-AG5440C with PID 9024 (started by Lin in E:\Code_work\Java-Tutorial\Mybatis-Plus-demo)
2023-06-01 11:47:27.901 [main] INFO  com.lzq.demo.service.impl.ruleTest - No active profile set, falling back to 1 default profile: "default"
2023-06-01 11:47:30.560 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2023-06-01 11:47:31.660 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-06-01 11:47:31.915 [main] WARN  c.b.m.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.lzq.demo.domain.FormRule".
2023-06-01 11:47:31.924 [main] WARN  c.b.m.c.injector.DefaultSqlInjector - class com.lzq.demo.domain.FormRule ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-06-01 11:47:34.338 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-06-01 11:47:34.512 [main] INFO  com.lzq.demo.service.impl.ruleTest - Started ruleTest in 7.101 seconds (JVM running for 9.197)
2023-06-01 11:47:35.536 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2023-06-01 11:47:35.546 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
